Column1,Column2,Column3
90,774,655
439,434,859
86,698,202
95,527,976
736,762,718
787,514,129
840,451,501
371,183,927
782,644,403
823,546,444
451,228,93
555,888,64
859,828,277
632,166,759
701,355,68
971,446,894
678,779,760
195,364,467
498,44,547
155,744,684
923,745,367
968,411,326
906,371,77
470,796,190
463,130,687
476,331,227
565,670,941
438,161,833
630,701,98
313,768,833
436,805,842
388,899,289
240,683,637
140,833,200
805,8,797
787,781,665
472,706,278
781,556,459
506,569,38
140,246,115
440,669,655
472,856,566
80,765,575
635,566,554
91,560,795
304,603,31
348,437,983
215,277,409
993,854,35
234,822,59
856,282,918
294,435,662
127,558,506
784,997,665
410,407,418
815,322,167
335,23,107
91,772,723
697,462,718
162,901,502
939,153,498
697,496,447
167,382,239
302,684,631
608,362,960
88,343,119
339,962,367
909,496,700
458,266,765
970,264,779
262,717,790
450,737,273
80,97,448
903,128,456
705,203,722
306,809,580
547,177,464
857,20,759
493,720,664
433,309,628
141,585,95
650,629,85
758,416,787
42,180,494
189,330,661
145,678,104
176,588,794
171,300,926
990,582,448
347,613,591
295,23,152
959,419,483
468,783,65
83,276,487
672,491,442
938,162,572
543,474,808
267,954,332
546,521,850
439,285,22
364,827,10
897,543,141
303,555,316
109,666,673
119,282,244
660,731,727
939,769,321
108,615,917
976,231,237
38,142,555
547,371,310
830,461,809
964,318,203
953,635,291
622,516,906
256,992,937
181,165,534
45,299,436
970,993,152
892,91,749
846,891,224
894,116,519
470,316,23
773,336,662
411,374,887
95,737,747
380,263,6
937,948,241
32,123,68
832,892,154
747,180,368
600,720,875
45,197,281
311,999,778
321,972,500
501,434,144
935,14,175
230,280,132
18,678,970
122,297,507
928,695,767
582,418,200
865,805,26
716,85,739
826,132,434
124,568,928
81,398,974
301,133,489
509,663,314
956,522,287
961,925,500
25,597,556
149,634,841
106,724,141
749,420,7
967,166,597
182,934,739
805,433,468
635,785,847
18,664,110
288,830,251
797,464,233
335,531,766
607,934,868
754,604,290
413,119,375
927,426,114
652,963,868
275,454,532
248,269,237
995,747,841
817,960,106
882,67,476
595,358,147
193,825,319
311,924,144
916,921,599
166,156,285
578,154,456
116,541,22
710,56,195
175,831,54
430,592,516
681,804,394
829,318,985
505,737,876
793,852,537
44,494,182
890,237,229
250,643,572
949,417,283
50,8,374
926,524,894
102,94,834
107,52,405
925,690,100
838,844,801
903,240,980
321,803,580
780,628,643
617,779,740
135,827,537
324,515,967
858,834,463
785,386,687
640,250,267
62,140,434
478,166,417
605,233,339
368,506,367
737,328,434
380,183,686
236,297,793
949,671,917
855,481,771
329,461,536
961,849,490
653,203,805
554,533,767
633,73,289
177,735,36
203,598,695
504,861,919
133,953,615
637,96,622
726,581,85
524,936,724
138,960,959
170,801,407
594,446,783
997,796,932
947,91,254
722,591,51
96,521,617
168,172,130
565,8,573
476,466,680
523,728,764
921,800,518
493,236,600
140,932,846
120,786,118
722,88,489
658,729,419
922,775,209
672,731,334
739,899,818
763,635,271
796,365,533
315,314,158
962,148,87
937,556,438
738,384,128
730,176,553
950,937,361
781,613,480
140,377,652
987,5,718
847,952,424
119,271,851
878,638,123
122,479,589
33,687,545
13,96,455
723,826,432
296,969,459
316,443,13
302,516,919
739,782,545
111,391,998
45,880,685
284,778,837
44,107,666
1000,24,666
137,651,624
91,681,898
864,29,246
241,454,144
855,777,809
199,15,911
289,657,910
37,6,6
157,52,820
606,981,802
964,239,288
850,245,58
670,801,969
928,121,773
847,699,820
838,447,41
457,202,114
125,698,505
540,746,549
631,87,852
449,156,814
735,54,194
16,271,100
710,523,981
750,612,510
55,71,617
5,43,220
885,459,710
412,174,372
92,771,184
377,981,592
459,544,785
255,637,873
573,447,146
249,947,542
302,419,579
538,700,258
650,443,941
158,149,462
509,691,405
914,475,130
120,974,135
948,279,94
305,615,428
786,611,401
635,972,412
154,409,841
218,950,589
602,318,921
37,299,419
478,475,148
226,96,573
351,566,590
703,548,648
588,653,617
317,247,788
343,550,197
432,530,627
527,361,962
513,809,737
559,887,129
922,851,504
734,521,269
800,246,315
520,838,384
495,42,116
56,73,869
842,822,56
78,281,566
335,488,173
731,314,67
743,903,15
437,828,707
857,416,373
710,154,240
601,669,120
509,365,502
959,77,996
450,773,425
311,771,688
145,706,754
388,926,641
334,11,675
210,757,526
467,164,712
166,418,837
921,990,959
556,201,840
802,991,651
142,503,449
843,393,329
81,836,756
42,434,480
470,919,151
307,181,245
908,941,45
633,233,193
293,195,491
996,587,724
494,14,85
269,244,841
844,855,638
557,650,407
671,795,763
614,59,725
367,744,540
882,339,932
845,332,483
532,769,690
853,370,505
431,910,305
588,121,851
385,341,583
499,848,532
517,105,22
399,999,918
629,631,392
178,9,339
317,192,260
25,608,928
691,449,421
308,143,599
567,8,416
279,171,704
526,634,714
982,803,621
880,478,985
762,651,904
516,721,285
964,624,783
461,867,75
115,508,733
810,441,650
554,962,655
417,970,108
985,155,289
822,734,971
750,638,347
5,124,298
41,509,778
964,490,876
986,860,465
326,978,242
412,75,794
650,85,222
556,541,803
267,925,445
823,239,37
56,373,954
49,369,110
932,676,763
714,658,774
9,866,740
740,394,801
382,49,908
235,102,622
234,859,444
5,952,515
263,678,531
30,760,402
700,896,611
672,255,238
416,853,525
349,780,854
903,299,710
591,449,397
115,275,550
887,867,188
680,85,676
342,450,718
425,808,534
999,639,297
776,408,535
137,120,575
187,998,856
701,735,596
61,393,496
916,220,497
345,135,104
366,83,68
351,202,555
18,302,454
964,635,881
344,450,421
888,960,963
752,504,541
981,285,347
897,387,236
561,326,891
910,307,530
984,743,216
591,620,654
26,300,855
242,300,323
178,156,348
875,2,284
61,562,251
792,586,784
635,439,861
